time,price,volume,ret,ma,vol_ma,ret_std,vol_std,ret_z,vol_z,anomaly_ret,anomaly_vol,anomaly_any
2025-08-17 00:00:00+00:00,117501.21653394958,23202714236.542347,,117501.21653394958,23202714236.542347,0.0,0.0,0.0,0.0,False,False,False
2025-08-18 00:00:00+00:00,117542.83687778088,20906566026.645443,0.0003542120248538616,117522.02670586522,22054640131.593895,0.0,1623621969.827453,0.0,-0.7071067811865476,False,False,False
2025-08-19 00:00:00+00:00,116256.41276740946,47337926940.98573,-0.010944300346511282,117100.15539304663,30482402401.391174,0.007989254715112392,14642390678.407299,-1.3698775088255923,1.1511456639694024,False,False,False
2025-08-20 00:00:00+00:00,112778.34483555844,46156885037.403885,-0.029917213588978364,116019.70275367459,34401023060.39435,0.015296987870197693,14295293677.620106,-1.9557584697615193,0.8223588995176673,False,False,False
2025-08-21 00:00:00+00:00,114252.39755195397,42166369117.006935,0.01307035245591548,115666.24171333047,35954092271.71687,0.018235317469482,12857942520.980707,0.7167603458393073,0.48314703811696896,False,False,False
2025-08-22 00:00:00+00:00,112414.39987336512,32048202090.65466,-0.016087169442138394,115124.26807333624,35303110574.87317,0.01632256255918551,11610512982.46671,-0.9855786665731204,-0.28034148785103796,False,False,False
2025-08-23 00:00:00+00:00,116834.24948202295,50878158870.82928,0.03931746834601957,115368.55113172006,37528117474.29547,0.024443763941509152,12123995477.867899,1.608486665151133,1.1011255671370077,False,False,False
2025-08-24 00:00:00+00:00,115359.98346714744,27306719885.257973,-0.012618440409482456,115062.66069360546,38114403995.54056,0.02276408651108668,11392989552.338503,-0.5543134974178279,-0.948625824734845,False,False,False
2025-08-25 00:00:00+00:00,113399.54847314971,40682656776.69001,-0.016994064450052804,114470.76235008672,40939559816.9755,0.023350602430954017,8499185868.016866,-0.7277784160088794,-0.03022678222066412,False,False,False
2025-08-26 00:00:00+00:00,110185.35443900425,52854872363.936554,-0.02834397559269386,113603.4683031717,41727694877.39704,0.024973218812518284,9399507395.235123,-1.1349748626911451,1.1838043227861277,False,False,False
2025-08-27 00:00:00+00:00,111842.70999260596,43023800053.0546,0.01504152309569573,113469.80618274992,41280111308.20429,0.02396836881550808,9226450034.47032,0.6275572280898616,0.188988043975292,False,False,False
2025-08-28 00:00:00+00:00,111216.08479629169,36957904262.995804,-0.005602736167209299,113036.0472176553,40536044900.48841,0.02317452729585285,9352226638.041979,-0.2417626946898686,-0.3825977252238341,False,False,False
2025-08-29 00:00:00+00:00,112525.59740669793,34222495087.206894,0.011774489389774878,113051.93257955999,40846658185.71016,0.023067283879760734,9054712676.515093,0.5104410840543663,-0.7315707670861977,False,False,False
2025-08-30 00:00:00+00:00,108480.30666639366,51702115726.38959,-0.03594996012936935,111858.51217732723,40964366307.93306,0.01908394208647405,9210862210.212704,-1.8837806133801502,1.1657702800668173,False,False,False
2025-08-31 00:00:00+00:00,108781.95727925687,27799981330.792213,0.002780694691349561,110918.79415048573,41034832228.72367,0.019662333121412152,9090057424.009657,0.14142241788800755,-1.4559699989324728,False,False,False
2025-09-01 00:00:00+00:00,108253.36092385623,26140904019.246822,-0.0048592282086233896,110183.62450058665,38957438977.660355,0.019287584593400024,10702577530.310545,-0.2519355487511981,-1.197518534401278,False,False,False
2025-09-02 00:00:00+00:00,109162.68557992298,42999610648.39302,0.008399966969213635,110037.52894928934,37549544446.86842,0.017226256490398353,9097585052.95683,0.48762579228375275,0.599067353566896,False,False,False
2025-09-03 00:00:00+00:00,111190.18209845416,50235464642.845955,0.01857316451826163,109944.31067869622,38579782245.41004,0.01782268237582173,10166379969.460974,1.0421082599473357,1.1464928944667314,False,False,False
2025-09-04 00:00:00+00:00,111711.51977725117,36406080683.42747,0.004688702446187243,110015.08710454757,38500950305.4717,0.017775032153098672,10183177950.81827,0.2637802511862053,-0.2057186501268891,False,False,False
2025-09-05 00:00:00+00:00,110724.736377486,38708366685.43147,-0.008833318190754058,109757.82124323158,39141789105.21808,0.01735065658182541,10008711214.048689,-0.5091057015102729,-0.04330451848568017,False,False,False
2025-09-06 00:00:00+00:00,110662.18112628513,56020470627.40665,-0.0005649618436445181,110069.51759464465,39758696948.22051,0.009027659931172773,10996286184.33665,-0.06258120575562315,1.4788423479146766,False,False,False
2025-09-07 00:00:00+00:00,110209.1888247784,19340758702.076332,-0.00409346984576231,110273.40781543344,38550236572.689674,0.00940664510859691,12839837399.91305,-0.4351678838208971,-1.4960842004699706,False,False,False
2025-09-08 00:00:00+00:00,111131.9923868407,22147049159.335133,0.008373199838440648,110684.64088157409,37979685878.41658,0.009147586766300122,13552139271.284708,0.9153452218991429,-1.16827582731745,False,False,False
2025-09-09 00:00:00+00:00,112025.12878118771,37159847899.8603,0.008036717196953314,111093.5613388976,37145434057.19762,0.009118071817332702,13370137931.700586,0.8814053407296242,0.001078062375744559,False,False,False
2025-09-10 00:00:00+00:00,111547.43956434788,45338021458.38368,-0.004264125576439848,111144.59811973957,36445799316.56014,0.006687960664737806,12681395139.316683,-0.6375823349144979,0.7012021977183406,False,False,False
2025-09-11 00:00:00+00:00,113975.32489468766,52205187155.05567,0.021765495826905124,111467.99885080193,38702814526.79275,0.01050521064057328,14009547934.276005,2.0718761928335176,0.96379788210209,False,False,False
2025-09-12 00:00:00+00:00,115503.16663193036,43752917632.95067,0.013405021996247157,112150.63174429398,39423464662.15263,0.009690483357756956,14139028456.544573,1.3833182000686084,0.30620583190028505,False,False,False
